Personal URL,Profile Cover Image Status,Profile Verification Status,Profile Text Color,Profile Page Color,Profile Theme Color,Is Profile View Size Customized?,UTC Offset,Location,Location Public Visibility,User Language,User Time Zone,Num of Followers,Num of People Following,Num of Status Updates,Num of Direct Messages,Profile Category,Avg Daily Profile Visit Duration in seconds,Avg Daily Profile Clicks,Num of Profile Likes,Months Since Profile Creation
0,1,1,0.00013883104262113008,0.00013883104262113008,0.00013883104262113008,0,0.008191031514646676,0,0.5960016659725115,0.7224767458003609,0.0052755796196029435,11.46964211045387,8.364042011922063,10.335594591590713,6.773080375655535,0.24670276273774816,14.792,0.9462766273644118,7.943072717277933,277
0,1,1,0.0061085658753297235,0.0063862279605719835,0.004442593363876163,0,0.23976121060669164,1,0.5960016659725115,0.7224767458003609,0.22504512008885186,13.834083998747598,5.66988092298052,9.005895898094458,5.673323267171493,0.4735526863806747,8.183,2.5078253321705666,7.1252830915107115,239
0,1,0,0.00013883104262113008,0.09607108149382201,0.00013883104262113008,0,0.10551159239205886,1,0.5960016659725115,0.7224767458003609,0.06997084548104957,9.506362568702965,7.537430036586509,8.455104999102815,5.429345628954441,0.4735526863806747,31.823,0.4526667095924585,7.352441100243583,254
1,0,1,0.00013883104262113008,0.00041649312786339027,0.00013883104262113008,0,0.23976121060669164,1,0.5960016659725115,0.7224767458003609,0.22504512008885186,12.734253787213992,7.046647277848756,10.88213317315705,8.3030093814735,0.24670276273774816,23.052,1.6147239168633378,8.755107121633896,262
1,1,0,0.00013883104262113008,0.001665972511453561,0.14008052200472026,0,0.10551159239205886,1,0.5960016659725115,0.7224767458003609,0.06997084548104957,9.128696382935672,4.543294782270004,8.093156697722637,4.875197323201151,0.4735526863806747,8.418,1.5938977877523677,6.983789965258135,261
1,1,1,0.00013883104262113008,0.3336109954185756,0.00013883104262113008,0,0.23976121060669164,0,0.5960016659725115,0.7224767458003609,0.22504512008885186,10.84324087253795,5.4638318050256105,9.672941671455156,6.150602768446279,0.19047619047619047,31.602,0.7038892770918475,5.135798437050262,255
0,1,1,0.023323615160349854,0.00013883104262113008,0.08121615993336109,0,0.23976121060669164,1,0.5960016659725115,0.7224767458003609,0.22504512008885186,15.800389190563457,5.802118375377063,9.585552436913327,8.648747631156539,0.19047619047619047,34.285,2.775939352603176,6.943122422819428,256
1,1,1,0.00013883104262113008,0.00013883104262113008,0.0011106483409690406,0,0.06802721088435375,1,0.5960016659725115,0.03456892961266139,0.03387477439955574,13.760487157478098,4.836281906951478,12.120591006984748,7.709308333385869,0.24670276273774816,43.201,0.9019077915067015,4.430816798843313,284
0,1,1,0.0015271414688324309,0.0027766208524226017,0.00013883104262113008,0,0.08038317367763433,1,0.3536026655560183,0.7224767458003609,0.0665000694155213,9.858019364488982,4.948759890378168,7.8928255262511176,5.342334251964811,0.4735526863806747,20.145,1.8956238662583436,7.122059881629142,259
0,1,0,0.09079550187421907,0.3336109954185756,0.20269332222684994,1,0.01777037345550465,0,0.5960016659725115,0.7224767458003609,0.0022212966819380813,13.584581780265747,6.608000625296087,9.87158400352312,5.480638923341991,0.08926836040538665,34.496,1.3455765278413316,6.269096283706261,206
